JAHR,MONAT,WERT,Label
2003,11,44.0,65.31128
2003,12,58.0,66.9998
2002,1,44.0,53.11575
2002,2,49.0,54.5565
2002,3,61.0,56.027134
2002,4,65.0,57.52812
2002,5,58.0,59.05918
2002,6,74.0,60.622124
2002,7,84.0,62.21678
2002,8,71.0,63.8435
2002,9,107.0,65.50281
2002,10,83.0,67.19513
2002,11,44.0,68.92092
2002,12,63.0,70.68066
2001,1,66.0,56.19734
2001,2,49.0,57.701817
2001,3,63.0,59.23713
2001,4,68.0,60.80371
2001,5,85.0,62.401257
2001,6,68.0,64.03173
2001,7,71.0,65.69476
2001,8,60.0,67.390915
2001,9,107.0,69.120544
2001,10,77.0,70.88419
2001,11,68.0,72.6823
2001,12,66.0,74.51535
2000,1,78.0,59.414787
2000,2,53.0,60.984978
2000,3,73.0,62.586933
2000,4,78.0,64.2211
2000,5,96.0,65.88718
2000,6,57.0,67.5871
2000,7,99.0,69.32065
2000,8,77.0,71.08818
2000,9,84.0,72.89029
2000,10,83.0,74.72731
2000,11,71.0,76.599846
2000,12,85.0,78.508255
